Date,AAPL,MSFT,SPY
2018-10-08,55.942501068115234,110.8499984741211,287.82000732421875
2018-10-09,56.717498779296875,112.26000213623047,287.3999938964844
2018-10-10,54.09000015258789,106.16000366210938,278.29998779296875
2018-10-11,53.61249923706055,105.91000366210938,272.1700134277344
2018-10-12,55.52750015258789,109.56999969482422,275.95001220703125
2018-10-15,54.34000015258789,107.5999984741211,274.3999938964844
2018-10-16,55.537498474121094,111.0,280.3999938964844
2018-10-17,55.29750061035156,110.70999908447266,280.45001220703125
2018-10-18,54.005001068115234,108.5,276.3999938964844
2018-10-19,54.82749938964844,108.66000366210938,276.25
2018-10-22,55.162498474121094,109.62999725341797,275.010009765625
2018-10-23,55.682498931884766,108.0999984741211,273.6099853515625
2018-10-24,53.772499084472656,102.31999969482422,265.32000732421875
2018-10-25,54.95000076293945,108.30000305175781,270.0799865722656
2018-10-26,54.07500076293945,106.95999908447266,265.3299865722656
2018-10-29,53.060001373291016,103.8499984741211,263.8599853515625
2018-10-30,53.32500076293945,103.7300033569336,267.7699890136719
2018-10-31,54.71500015258789,106.80999755859375,270.6300048828125
2018-11-01,55.55500030517578,105.91999816894531,273.510009765625
2018-11-02,51.869998931884766,106.16000366210938,271.8900146484375
2018-11-05,50.397499084472656,107.51000213623047,273.3900146484375
2018-11-06,50.942501068115234,107.72000122070312,275.1199951171875
2018-11-07,52.48749923706055,111.95999908447266,281.010009765625
2018-11-08,52.122501373291016,111.75,280.5
2018-11-09,51.11750030517578,109.56999969482422,277.760009765625
2018-11-12,48.54249954223633,106.87000274658203,272.57000732421875
2018-11-13,48.057498931884766,106.94000244140625,272.05999755859375
2018-11-14,46.70000076293945,104.97000122070312,270.20001220703125
2018-11-15,47.852500915527344,107.27999877929688,273.0199890136719
2018-11-16,48.38249969482422,108.29000091552734,273.7300109863281
2018-11-19,46.46500015258789,104.62000274658203,269.1000061035156
2018-11-20,44.244998931884766,101.70999908447266,264.1199951171875
2018-11-21,44.19499969482422,103.11000061035156,265.0199890136719
2018-11-22,,,
2018-11-23,43.0724983215332,103.06999969482422,263.25
2018-11-26,43.654998779296875,106.47000122070312,267.5
2018-11-27,43.560001373291016,107.13999938964844,268.3999938964844
2018-11-28,45.23500061035156,111.12000274658203,274.5799865722656
2018-11-29,44.88750076293945,110.19000244140625,273.9800109863281
2018-11-30,44.64500045776367,110.88999938964844,275.6499938964844
2018-12-03,46.20500183105469,112.08999633789062,279.29998779296875
2018-12-04,44.17250061035156,108.5199966430664,270.25
2018-12-05,,,
2018-12-06,43.68000030517578,109.19000244140625,269.8399963378906
2018-12-07,42.122501373291016,104.81999969482422,263.57000732421875
2018-12-10,42.400001525878906,107.58999633789062,264.07000732421875
2018-12-11,42.157501220703125,108.58999633789062,264.1300048828125
2018-12-12,42.275001525878906,109.08000183105469,265.4599914550781
2018-12-13,42.73749923706055,109.44999694824219,265.3699951171875
2018-12-14,41.369998931884766,106.02999877929688,260.4700012207031
2018-12-17,40.98500061035156,102.88999938964844,255.36000061035156
2018-12-18,41.51750183105469,103.97000122070312,255.0800018310547
2018-12-19,40.22249984741211,103.69000244140625,251.25999450683594
2018-12-20,39.20750045776367,101.51000213623047,247.1699981689453
2018-12-21,37.682498931884766,98.2300033569336,240.6999969482422
2018-12-24,36.70750045776367,94.12999725341797,234.33999633789062
2018-12-25,,,
2018-12-26,39.29249954223633,100.55999755859375,246.17999267578125
2018-12-27,39.037498474121094,101.18000030517578,248.07000732421875
2018-12-28,39.057498931884766,100.38999938964844,247.75
2018-12-31,39.435001373291016,101.56999969482422,249.9199981689453
2019-01-01,,,
2019-01-02,39.47999954223633,101.12000274658203,250.17999267578125
2019-01-03,35.54750061035156,97.4000015258789,244.2100067138672
2019-01-04,37.064998626708984,101.93000030517578,252.38999938964844
2019-01-07,36.98249816894531,102.05999755859375,254.3800048828125
2019-01-08,37.6875,102.80000305175781,256.7699890136719
2019-01-09,38.32749938964844,104.2699966430664,257.9700012207031
2019-01-10,38.45000076293945,103.5999984741211,258.8800048828125
2019-01-11,38.0724983215332,102.80000305175781,258.9800109863281
2019-01-14,37.5,102.05000305175781,257.3999938964844
2019-01-15,38.26750183105469,105.01000213623047,260.3500061035156
2019-01-16,38.73500061035156,105.37999725341797,260.9800109863281
2019-01-17,38.96500015258789,106.12000274658203,262.9599914550781
2019-01-18,39.20500183105469,107.70999908447266,266.4599914550781
2019-01-21,,,
2019-01-22,38.32500076293945,105.68000030517578,262.8599853515625
2019-01-23,38.47999954223633,106.70999908447266,263.4100036621094
2019-01-24,38.17499923706055,106.19999694824219,263.54998779296875
2019-01-25,39.439998626708984,107.16999816894531,265.7799987792969
2019-01-28,39.07500076293945,105.08000183105469,263.760009765625
2019-01-29,38.66999816894531,102.94000244140625,263.4100036621094
2019-01-30,41.3125,106.37999725341797,267.5799865722656
2019-01-31,41.61000061035156,104.43000030517578,269.92999267578125
2019-02-01,41.630001068115234,102.77999877929688,270.05999755859375
2019-02-04,42.8125,105.73999786376953,271.9599914550781
2019-02-05,43.54499816894531,107.22000122070312,273.1000061035156
2019-02-06,43.560001373291016,106.02999877929688,272.739990234375
2019-02-07,42.73500061035156,105.2699966430664,270.1400146484375
2019-02-08,42.602500915527344,105.66999816894531,270.4700012207031
2019-02-11,42.35749816894531,105.25,270.6199951171875
2019-02-12,42.72249984741211,106.88999938964844,274.1000061035156
2019-02-13,42.54499816894531,106.80999755859375,274.989990234375
2019-02-14,42.70000076293945,106.9000015258789,274.3800048828125
2019-02-15,42.60499954223633,108.22000122070312,277.3699951171875
